Source#File#NameKey#InDirectName#FamilyName#GivenName#Suffix#Role
PDFdata#AbdelMagid_fsu_0071E_18484.pdf#AbdelmagidM#Abdelmagid, Mazin H.#Abdelmagid#Mazin H.##author
PDFdata#Adesina_fsu_0071N_18391.pdf#AdesinaG#Adesina, Gbenga#Adesina#Gbenga##author
PDFdata#AguirreNunes_fsu_0071N_17999.pdf#NunesM#Nunes, Mariana Aguirre#Nunes#Mariana Aguirre##author
PDFdata#Akinrinmade_fsu_0071E_18025.pdf#AkinrinmadeB#Akinrinmade, Bodunrin Ifeoluwa#Akinrinmade#Bodunrin Ifeoluwa##author
PDFdata#Ale_fsu_0071E_18701.pdf#AleC#Ale, Chelsea#Ale#Chelsea##author
PDFdata#Algahtani_fsu_0071E_17898.pdf#AlgahtaniA#Algahtani, Aaid#Algahtani#Aaid##author
PDFdata#ALINEJAD_fsu_0071E_18726.pdf#AlinejadN#Alinejad, Nasrollah#Alinejad#Nasrollah##author
PDFdata#Alsolami_fsu_0071E_17673.pdf#AlsolamiM#Alsolami, Maryam#Alsolami#Maryam##author
PDFdata#Alzahrani_fsu_0071E_17967.pdf#AlzahraniA#Alzahrani, Ahmed#Alzahrani#Ahmed##author
PDFdata#An_fsu_0071E_18575.pdf#AnH#An, Hye Jin#An#Hye Jin##author
PDFdata#AngerothFranks_fsu_0071E_18125.pdf#FranksE#Franks, Eric Angeroth#Franks#Eric Angeroth##author
PDFdata#Atsitty_fsu_0071E_18560.pdf#AtsittyT#Atsitty, Tacey M.#Atsitty#Tacey M.##author
PDFdata#Aurko_fsu_0071E_18221.pdf#AurkoA#Aurko, Abdullah#Aurko#Abdullah##author
PDFdata#Bai_fsu_0071E_18102.pdf#BaiF#Bai, Fan#Bai#Fan##author
PDFdata#Bai_fsu_0071E_18572.pdf#BaiJ#Bai, Jiyang#Bai#Jiyang##author
PDFdata#Baker_fsu_0071E_18662.pdf#BakerP#Baker, Paul A.#Baker#Paul A.##author
PDFdata#Ballard_fsu_0071E_17358.pdf#BallardJ#Ballard, Joe#Ballard#Joe##author
PDFdata#Banerjee_fsu_0071E_18797.pdf#BanerjeeS#Banerjee, Subhankar#Banerjee#Subhankar##author
PDFdata#Barlow_fsu_0071E_18174.pdf#BarlowJ#Barlow, Jason#Barlow#Jason##author
PDFdata#Barriga_fsu_0071E_18176.pdf#BarrigaE#Barriga, Edmundo Sebastian#Barriga#Edmundo Sebastian##author
PDFdata#Barrionuevo_fsu_0071E_18716.pdf#BarrionuevoL#Barrionuevo, Luiz Carlos#Barrionuevo#Luiz Carlos##author
PDFdata#Barua_fsu_0071E_18735.pdf#BaruaS#Barua, Shaon#Barua#Shaon##author
PDFdata#Beck_fsu_0071E_18122.pdf#BeckN#Beck, Nicholas B.#Beck#Nicholas B.##author
PDFdata#Bell_fsu_0071E_18588.pdf#BellL#Bell, Leslie F.#Bell#Leslie F.##author
PDFdata#Bennett_fsu_0071E_18586.pdf#BennettR#Bennett, Rachel S.#Bennett#Rachel S.##author
PDFdata#Beugnet_fsu_0071E_18472.pdf#BeugnetD#Beugnet, Daniel William#Beugnet#Daniel William##author
PDFdata#Blakesley_fsu_0071E_18672.pdf#BlakesleyR#Blakesley, Rachel#Blakesley#Rachel##author
PDFdata#Bloom_fsu_0071E_18569.pdf#BloomC#Bloom, Christopher#Bloom#Christopher##author
PDFdata#Borruso_fsu_0071E_18570.pdf#BorrusoA#Borruso, Anthony J.#Borruso#Anthony J.##author
PDFdata#Boyles_fsu_0071E_18544.pdf#BoylesM#Boyles, Mason#Boyles#Mason##author
PDFdata#Bradbury_fsu_0071E_18146.pdf#BradburyD#Bradbury, Daniel R.#Bradbury#Daniel R.##author
PDFdata#Bradley_fsu_0071E_18635.pdf#BradleyL#Bradley, Lyndi R.#Bradley#Lyndi R.##author
PDFdata#Brasseur_fsu_0071N_18138.pdf#BrasseurH#Brasseur, Hanna L.#Brasseur#Hanna L.##author
PDFdata#Bruce_fsu_0071N_18162.pdf#BruceJ#Bruce, Jackson#Bruce#Jackson##author
PDFdata#Bruno_fsu_0071E_18731.pdf#BrunoT#Bruno, Tommaso#Bruno#Tommaso##author
PDFdata#Brust_fsu_0071N_18005.pdf#BrustN#Brust, Nicholas M.#Brust#Nicholas M.##author
PDFdata#Burns_fsu_0071E_18524.pdf#BurnsD#Burns, Devin Dufey#Burns#Devin Dufey##author
PDFdata#Cain_fsu_0071N_18255.pdf#CainS#Cain, Spencer#Cain#Spencer##author
PDFdata#Campbell_fsu_0071E_18502.pdf#CampbellD#Campbell, Denisha#Campbell#Denisha##author
PDFdata#Canino_fsu_0071E_18136.pdf#CaninoA#Canino, Andrew R.#Canino#Andrew R.##author
PDFdata#Cardenas_fsu_0071E_18492.pdf#CardenasR#Cardenas, Ramon#Cardenas#Ramon##author
PDFdata#Carpenter_fsu_0071E_18500.pdf#CarpenterJ#Carpenter, Joshua W.#Carpenter#Joshua W.##author
PDFdata#Carroll_fsu_0071E_18700.pdf#CarrollN#Carroll, Nakita M.#Carroll#Nakita M.##author
PDFdata#Carroll_fsu_0071E_18723.pdf#CarrollC#Carroll, Charles#Carroll#Charles##author
PDFdata#Casey_fsu_0071E_18178.pdf#CaseyW#Casey, William Michael#Casey#William Michael##author
PDFdata#CHANDA_fsu_0071E_17921.pdf#ChandaA#Chanda, Anindya#Chanda#Anindya##author
PDFdata#Chappell_fsu_0071E_18541.pdf#ChappellM#Chappell, Moniquca (Nikki)#Chappell#Moniquca (Nikki)##author
PDFdata#Chen_fsu_0071E_18477.pdf#ChenD#Chen, Danielle Marie Tidwell#Chen#Danielle Marie Tidwell##author
PDFdata#Chen_fsu_0071E_18650.pdf#ChenB#Chen, Bang-Shyuan#Chen#Bang-Shyuan##author
PDFdata#chen_fsu_0071E_18788.pdf#ChenX#Chen, Xingchi#Chen#Xingchi##author
PDFdata#Chin_fsu_0071E_18073.pdf#ChinA#Chin, Arizona#Chin#Arizona##author
PDFdata#Choi_fsu_0071E_18062.pdf#ChoiD#Choi, Dowon#Choi#Dowon##author
PDFdata#Claitt_fsu_0071E_18082.pdf#ClaittR#Claitt, Raquista C.#Claitt#Raquista C.##author
PDFdata#Cohen_fsu_0071E_18557.pdf#CohenK#Cohen, Kaitlin E.#Cohen#Kaitlin E.##author
PDFdata#Coker_fsu_0071E_18177.pdf#CokerR#Coker, Ryan#Coker#Ryan##author
PDFdata#Coley_fsu_0071E_18553.pdf#ColeyC#Coley, Camille E.#Coley#Camille E.##author
PDFdata#Compare_fsu_0071E_18655.pdf#CompareK#Compare, Kyle Alexander#Compare#Kyle Alexander##author
PDFdata#Conlon_fsu_0071E_18165.pdf#ConlonR#Conlon, Rachel#Conlon#Rachel##author
PDFdata#Cozac_fsu_0071E_18539.pdf#CozacM#Cozac, Marina#Cozac#Marina##author
PDFdata#Crutchfield_fsu_0071E_17522.pdf#CrutchfieldD#Crutchfield, Daniel "Alan", Jr.#Crutchfield#Daniel (Alan)#Jr.##author
PDFdata#Cummings_fsu_0071E_18713.pdf#CummingsJ#Cummings, Jared#Cummings#Jared##author
PDFdata#Cushing_fsu_0071E_18568.pdf#CushingS#Cushing, Sarah D.#Cushing#Sarah D.##author
PDFdata#Dai_fsu_0071E_18132.pdf#DaiC#Dai, Chih-Pu#Dai#Chih-Pu##author
PDFdata#DaSilvaFogo_fsu_0071E_18709.pdf#FogoG#Fogo, Gabriela Da Silva#Fogo#Gabriela Da Silva##author
PDFdata#Davis_fsu_0071E_18056.pdf#DavisM#Davis, M. Nicole#Davis#M. Nicole##author
PDFdata#DC_fsu_0071N_18359.pdf#DCB#DC, Bijay#DC#Bijay##author
PDFdata#Dement_fsu_0071E_18490.pdf#DementM#Dement, Mary Elizabeth#Dement#Mary Elizabeth##author
PDFdata#Dennis_fsu_0071E_18617.pdf#DennisD#Dennis, Denise L.#Dennis#Denise L.##author
PDFdata#DerryberryIII_fsu_0071E_18624.pdf#DerryberryQ#Derryberry, Quentin M., III#Derryberry#Quentin M.#III#author
